order_id,customer_name,customer_email,customer_phone,order_date,status,total_amount,channel_name,shipping_method,payment_method
102,Frances Bennett,brianknapp@example.com,6159716081,1988-03-02,Shipped,56642888.01,Mobile App,Express,Credit Card
103,Kaitlyn Wilson,hawkinsalexander@example.org,5414568361,1986-09-12,Pending,59592115.07,Online,Standard,PayPal
104,Trevor Shea,stevenscindy@example.net,1608097909,2019-08-25,Processing,56201129.44,Online,Express,Debit Card
105,Samuel Hudson,youngmary@example.org,4667645887,2009-12-02,Delivered,65019902.84,In-Store,Express,Debit Card
106,Natasha Smith,smithkatie@example.com,8485389471,1977-03-13,Shipped,42242946.6,Phone,Next Day,Credit Card
107,Johnny Fuller,susanyoder@example.net,6772374893,2018-02-26,Cancelled,23886186.42,Mobile App,Express,PayPal
108,Jennifer Cardenas,philip09@example.net,2791574332,1981-06-06,Pending,83431048.58,Phone,Standard,Debit Card
109,Jill Hood,williamsdonald@example.com,4247509015,2011-09-15,Processing,23231727.73,Mobile App,Express,PayPal
110,Cameron Griffith,christinawilson@example.org,9331611867,1989-06-21,Processing,64790524.84,In-Store,Standard,Cash
111,Deborah Nguyen,htorres@example.net,0694630247,1978-01-09,Pending,41026100.85,Phone,Express,PayPal
112,Justin Carroll,bruceroger@example.com,6214134767,2006-12-10,Cancelled,58172863.92,In-Store,Standard,PayPal
113,Adam Hill,morgansteven@example.com,6525926597,1985-04-05,Processing,28228430.84,Mobile App,Next Day,Credit Card
114,Jessica Bryant,carrrichard@example.com,0611917514,1992-04-24,Delivered,86807279.58,Online,Standard,Credit Card
115,Mr. Ryan Miller MD,joannlee@example.org,5121903026,1991-05-04,Processing,59475570.53,Mobile App,Express,PayPal
116,Anne Allen,nataliesantiago@example.net,2031401599,2023-04-07,Pending,81526314.6,Online,Standard,Credit Card
117,Stacy Bennett,lloydjoseph@example.net,1182905028,2016-07-14,Processing,25774065.72,Mobile App,Express,Credit Card
118,Sean Bright,jenniferedwards@example.net,2631626823,1987-02-21,Processing,89088906.42,Phone,Next Day,PayPal
119,Robert Brown,cooperkathryn@example.org,5514304655,2011-08-29,Delivered,70781776.33,Mobile App,Standard,Cash
120,Michael Patterson,ramseyelizabeth@example.org,1523652421,2005-08-24,Processing,68329856.59,Online,Express,PayPal
121,Catherine Gonzales,jamesreed@example.net,2120302065,2010-10-28,Delivered,79428388.06,In-Store,Standard,Cash
122,Craig Lee,stevenscott@example.net,4558198553,2002-09-29,Pending,55861009.33,Phone,Next Day,PayPal
123,Ryan Schwartz,charlotte34@example.net,9677211080,1999-08-06,Cancelled,42121770.58,Mobile App,Next Day,Debit Card
124,Courtney Martinez,lbailey@example.net,2916600125,2024-04-17,Shipped,97227792.5,Online,Express,Debit Card
125,Michael Vaughan,mcastillo@example.com,0959578056,2015-06-17,Delivered,12692120.09,Phone,Next Day,Credit Card
126,Samantha Francis,ybrown@example.net,7097803184,2002-04-15,Shipped,99483308.42,In-Store,Next Day,Cash
127,Amanda Nicholson,anthony60@example.org,2894151216,1983-12-01,Cancelled,62588805.3,Phone,Express,Credit Card
128,John Mitchell,ldennis@example.com,2555666964,1983-11-04,Pending,70095162.73,Phone,Standard,Debit Card
129,Darrell Coleman,justin70@example.net,3540002069,2013-11-27,Pending,74103791.11,In-Store,Express,Cash
130,Stacie Miranda MD,drobinson@example.org,8599471647,2006-10-07,Shipped,68818007.13,In-Store,Standard,Cash
131,Debra Sullivan,jason46@example.org,5595637609,1986-11-07,Delivered,12374826.94,Phone,Express,Cash
132,Mary Kent,matthewestrada@example.org,9526706816,1990-11-23,Processing,46325766.09,Online,Next Day,Credit Card
133,Kenneth Freeman,ebowman@example.org,1025154164,2014-09-19,Shipped,62544054.75,In-Store,Express,Cash
134,Mrs. Christy Conner DVM,reynoldsdanny@example.net,7012954653,1987-06-25,Processing,46131106.2,Mobile App,Express,PayPal
135,Christopher James,scottjennifer@example.com,6180944761,1974-12-19,Cancelled,40004191.03,In-Store,Express,Debit Card
136,Misty Anderson,zgreene@example.net,6334278300,1989-10-23,Cancelled,26310552.15,Mobile App,Express,Cash
137,Steven Smith,brian40@example.net,5625794360,1978-07-23,Delivered,86558728.51,Online,Express,Credit Card
138,Joshua Bailey,connie55@example.net,5580336889,1997-03-21,Pending,30845026.98,In-Store,Next Day,Credit Card
139,Alicia Johnson,trosario@example.org,0338838516,1990-05-31,Pending,29409457.72,In-Store,Next Day,Credit Card
140,Terry Terry,qserrano@example.org,0042445850,1992-04-21,Cancelled,42152218.9,Phone,Express,Credit Card
141,Jessica Ortiz,rodneypalmer@example.com,4323595728,1985-03-31,Processing,82732744.73,In-Store,Next Day,Debit Card
142,Lucas Weiss,pbrown@example.com,1905385649,2002-07-29,Shipped,38123733.53,In-Store,Next Day,PayPal
143,Melissa Simmons,mendozarussell@example.net,3716804886,2021-08-30,Pending,17360291.42,In-Store,Next Day,PayPal
144,Daniel Martin,xbutler@example.net,0148264311,2005-04-11,Processing,67101119.07,Mobile App,Next Day,PayPal
145,Aaron Lam,martha13@example.org,5954313427,2024-05-07,Shipped,28206072.46,In-Store,Standard,Cash
146,Todd Hill,tammie08@example.net,4079400201,1980-04-02,Processing,55218307.38,Online,Standard,PayPal
147,Ryan Ford,qjohnston@example.org,9226388249,2004-05-24,Delivered,60263003.62,Phone,Next Day,Credit Card
148,Jordan Robinson MD,brandymoreno@example.org,7519490805,1970-01-25,Shipped,83003635.65,Phone,Standard,Cash
149,William Brown,brucepatterson@example.com,3492747598,1975-06-15,Processing,84203158.29,Online,Express,PayPal
150,Megan Perez,jessicapalmer@example.org,2834793755,1990-01-05,Delivered,81630793.5,Phone,Standard,Credit Card
151,Daniel Osborne,sandersthomas@example.com,9567342778,1971-12-05,Processing,69653635.39,Phone,Next Day,PayPal
152,Joseph Williams,sullivanjoseph@example.net,8340981872,2011-12-17,Pending,68082117.08,Mobile App,Standard,PayPal
153,Kevin Thomas,benjaminmunoz@example.net,8516221837,2024-04-11,Cancelled,65576034.12,In-Store,Next Day,Cash
154,Jeffrey Peters,lfrancis@example.net,2797523345,1995-05-21,Processing,51449529.79,In-Store,Express,Debit Card
155,Samantha May,harrisrebecca@example.net,4794443964,2004-07-01,Pending,70422949.03,In-Store,Next Day,Debit Card
156,John Hampton,jlevy@example.com,8870358526,2023-07-18,Cancelled,98449606.63,In-Store,Standard,Credit Card
157,Dustin Johnson,jared42@example.net,4435271501,1971-07-15,Shipped,26348909.85,Phone,Standard,Credit Card
158,Laura Barnes,wrightcharles@example.net,0708612073,1979-04-22,Cancelled,31452270.05,Online,Next Day,Credit Card
159,Katrina Campbell,gjones@example.com,9020228142,2014-11-15,Shipped,46396113.03,Phone,Next Day,Cash
160,Taylor Bradford PhD,jmiller@example.com,8504246428,1994-08-08,Processing,11118966.39,In-Store,Standard,PayPal
161,Mario Melton,elizabeth68@example.org,0715540770,1987-02-06,Processing,82490579.68,Phone,Standard,PayPal
162,Kimberly Salazar,emma93@example.org,3205390148,2014-04-05,Shipped,38348622.79,Phone,Express,Cash
163,Russell Evans DVM,claudia15@example.net,1462390976,2012-02-01,Delivered,54388284.86,Online,Express,Cash
164,Steven Smith,hwalters@example.org,2265898586,2004-06-04,Pending,75188963.36,Mobile App,Next Day,Debit Card
165,Kristi Nelson,wcurry@example.org,6673209159,1973-03-08,Shipped,76075775.97,In-Store,Next Day,Credit Card
166,Scott Cantu,rossjeremy@example.com,6388203743,1996-08-11,Cancelled,75170295.92,In-Store,Standard,Credit Card
167,Ryan Whitney,iwilson@example.org,8570532441,1987-10-12,Pending,56147748.31,In-Store,Express,Cash
168,Cody Mcfarland,dparker@example.net,5332655900,2011-11-01,Shipped,73690011.47,In-Store,Standard,Credit Card
169,Tammy Johnson,emmaclark@example.com,8752771296,2018-04-02,Shipped,19483484.02,Online,Standard,Credit Card
170,Michael Rodriguez,tonya85@example.org,9149217392,2014-02-11,Pending,43767301.57,Mobile App,Next Day,Cash
171,Dana Oneal,thale@example.com,4902189066,2018-06-23,Delivered,96681844.78,In-Store,Express,Cash
172,Charles Anderson,ballmatthew@example.net,2450683615,2003-09-27,Pending,95370697.59,In-Store,Next Day,PayPal
173,Carol Bell,xevans@example.org,8207356975,2008-01-09,Delivered,91733838.38,Phone,Express,Cash
174,Rebecca Mckee,vlove@example.com,7653888486,2003-11-21,Cancelled,52516543.32,Mobile App,Express,Debit Card
175,Christine Jones,antonio94@example.com,9636087859,1976-09-26,Cancelled,39777919.18,Phone,Express,Credit Card
176,Peggy Kramer,hendersonstephanie@example.com,3246598850,2018-01-26,Processing,10611561.21,In-Store,Standard,PayPal
177,Chad Smith,arnoldmichael@example.com,0428756129,2018-04-23,Processing,28717428.94,Phone,Express,PayPal
178,Audrey Berry,martinezheather@example.com,4025286310,1989-01-24,Pending,92008047.34,In-Store,Standard,PayPal
179,Peter Valdez,ybarker@example.com,8163937503,2007-09-04,Cancelled,79212277.2,Mobile App,Next Day,Debit Card
180,Bryan Owens,thompsonryan@example.com,6771103963,1986-03-25,Cancelled,61165288.14,Mobile App,Standard,Credit Card
181,Angela Harris,jordanwilliam@example.net,3741192287,1990-08-01,Processing,54872993.39,Mobile App,Next Day,Cash
182,Holly Santana,lopezhannah@example.net,9478732350,1977-09-12,Cancelled,93775921.22,Phone,Next Day,Debit Card
183,James Barajas,brianjohnson@example.com,9388132783,1993-06-05,Cancelled,91066175.75,Online,Next Day,Debit Card
184,Alexis Roach,rogerswillie@example.org,6216961678,1972-07-07,Shipped,76547000.43,Mobile App,Standard,Debit Card
185,April Gross,wallsjoseph@example.net,4422734836,2017-11-17,Cancelled,97244761.91,Mobile App,Standard,Cash
186,Andrea Turner,stephanie01@example.org,8077880700,2023-09-09,Cancelled,40376930.33,In-Store,Next Day,Debit Card
187,James Patterson,kwilson@example.com,3497819502,2014-09-30,Pending,47026763.1,In-Store,Next Day,Debit Card
188,Danielle Daniel,donaldhoward@example.com,0906191335,2025-05-30,Cancelled,59538141.52,In-Store,Express,Credit Card
189,Sheri Gonzalez,kpatel@example.com,7217818027,1999-07-13,Processing,46666528.8,Phone,Next Day,Debit Card
190,Casey Cook,dgibson@example.net,0337754972,1991-08-18,Pending,43780470.57,Online,Express,Cash
191,Colleen Scott,byrdashley@example.org,8398738109,2021-04-07,Shipped,43426628.62,Mobile App,Express,Credit Card
192,Amy Grant,michael49@example.net,1730123133,2008-12-21,Shipped,63799224.32,Phone,Express,Credit Card
193,Jonathan Lee,parksshawn@example.net,8242267929,1988-12-16,Processing,28293029.6,Mobile App,Next Day,PayPal
194,Tanner Singleton,newmanrichard@example.org,3326802471,1993-02-21,Shipped,39529112.56,Phone,Standard,Debit Card
195,Ronald Rogers MD,cbooker@example.net,7257924814,1984-01-01,Pending,42239515.52,Phone,Express,Debit Card
196,Stuart Wallace,patrickwalker@example.net,2262178819,2009-03-25,Pending,31325057.58,Phone,Next Day,Cash
197,Jacob Frazier,wallsbrooke@example.net,5288471162,2001-03-05,Cancelled,75374229.18,Online,Standard,Credit Card
198,Karen Mcneil,elliottcorey@example.com,3430871600,2003-07-10,Delivered,67433805.39,Phone,Next Day,PayPal
199,Alan Ramirez,tstokes@example.net,0947266315,2001-12-22,Cancelled,81224614.32,Mobile App,Standard,Debit Card
200,Janet Clark,hayala@example.com,9570071712,2011-05-09,Pending,55139336.1,Phone,Express,Credit Card
201,Joe Ruiz,ryanclark@example.com,4860993406,2007-11-21,Pending,55973114.84,Phone,Next Day,Debit Card
202,Christina Fox,jessica50@example.com,7567079129,1983-08-02,Cancelled,22357099.59,Online,Standard,Credit Card
203,Casey Baker,yhicks@example.org,7636496203,1973-08-04,Shipped,25307782.27,In-Store,Express,Debit Card
204,Stephanie Phillips,whartman@example.org,4505578917,2002-02-23,Shipped,65920211.66,Mobile App,Next Day,Debit Card
205,Ethan Wright,kturner@example.com,7612238259,2005-10-20,Shipped,29827950.4,In-Store,Next Day,PayPal
206,Lisa King,stefanie66@example.com,2942299963,2000-05-26,Pending,71078929.21,Phone,Next Day,PayPal
207,Andrew Davis,reginaldmoreno@example.org,3131410886,2022-06-23,Pending,95202655.85,In-Store,Express,Debit Card
208,Mike Williamson,colonheather@example.net,5701394292,1976-02-07,Shipped,83502544.65,In-Store,Standard,PayPal
209,Brenda Martinez,watersdeborah@example.net,9087499246,1984-12-14,Shipped,70606107.02,In-Store,Express,Debit Card
210,Paul Jenkins,thomasjennifer@example.com,5682709460,2010-05-28,Processing,70641218.12,Phone,Standard,PayPal
211,Karen David DDS,caseytimothy@example.net,8584405888,2010-06-08,Delivered,16319588.24,Mobile App,Next Day,Debit Card
212,Karen Thompson,crossrandall@example.net,5696446060,1993-07-14,Shipped,91472420.26,Phone,Next Day,PayPal
213,Zachary Goodwin,williamclements@example.org,8192348427,2001-11-22,Processing,70964022.35,In-Store,Express,PayPal
214,Mikayla Christensen,laurentate@example.org,8944183110,2009-07-28,Processing,18012422.61,In-Store,Next Day,Credit Card
215,Jessica Miles,ecunningham@example.com,4109933533,2007-11-28,Delivered,91928916.91,Phone,Next Day,Cash
216,Patricia Boyer,sbennett@example.com,1344495130,1997-02-09,Delivered,19458100.0,In-Store,Standard,Credit Card
217,Christopher Lee,richardslisa@example.net,8136292741,2008-11-02,Shipped,61598185.4,Phone,Standard,Debit Card
218,Rebecca Hoover MD,johnsonscott@example.com,5112551289,1992-08-09,Cancelled,10551085.34,Phone,Next Day,Cash
219,Jane Parker,beverlycolon@example.org,1722979952,1979-07-22,Processing,43942686.85,Mobile App,Express,PayPal
220,Amanda Weber,fschultz@example.com,7413368445,2015-04-21,Pending,97066385.13,Online,Next Day,PayPal
221,Sharon Love,mannashley@example.net,5297069526,2005-02-07,Pending,34949900.27,In-Store,Standard,Debit Card
222,Erika Jackson,melanie92@example.net,0465679787,1980-12-24,Processing,35140190.91,Mobile App,Standard,PayPal
223,Alexandra Robinson,megansilva@example.com,7600563413,1975-11-18,Shipped,39789413.33,Online,Express,Credit Card
224,Debbie Shepherd,jessica57@example.com,5009463368,2019-07-25,Pending,84488171.68,Online,Next Day,PayPal
225,Gregory Jones,johnsonjohn@example.org,9549833208,1971-12-23,Cancelled,96321284.47,In-Store,Standard,Cash
226,Sarah Chung,morgandavid@example.com,8860067834,1989-05-13,Delivered,28441828.11,Online,Express,Cash
227,Michael Chang,lklein@example.net,9085583931,2009-06-10,Pending,17278714.64,Online,Next Day,Debit Card
228,Jason Cole,gregory85@example.com,9924065351,1978-02-04,Shipped,51193557.94,Phone,Standard,Credit Card
229,Brandon Sawyer,ksmith@example.com,5364963395,2002-01-08,Shipped,34763163.07,Phone,Standard,Debit Card
230,Matthew Fleming,carolynmoore@example.org,6116666133,2019-02-23,Shipped,13993134.83,Online,Standard,Credit Card
231,Lauren Johnson,calebmendez@example.com,0273215926,2024-08-28,Delivered,52334197.49,Online,Standard,PayPal
232,Austin Sanchez,moralespaul@example.org,3149829599,1997-05-18,Delivered,22185091.97,Mobile App,Standard,PayPal
233,Stacy Collins,wallkyle@example.com,1649530286,2022-10-28,Cancelled,24481803.65,Phone,Next Day,Debit Card
234,Erin Allen,jessicafuller@example.net,7207849790,1989-06-22,Shipped,18674650.95,In-Store,Standard,Credit Card
235,Anne Harris,dgreen@example.com,9986639654,1980-07-07,Processing,67083198.89,Mobile App,Express,PayPal
236,William Meyer,alexander62@example.org,3204816175,2020-02-23,Pending,56787717.91,Mobile App,Next Day,Debit Card
237,Matthew Walker,robertsanchez@example.com,8889697526,2020-12-12,Delivered,94536131.3,In-Store,Next Day,Cash
238,Bonnie Torres,daviskenneth@example.net,4490670985,2024-05-05,Delivered,54652105.82,Online,Standard,Cash
239,Steven Alexander,clandry@example.org,0269574160,2022-05-04,Pending,58350778.3,Phone,Express,Credit Card
240,Carrie Page,rodneywhitaker@example.org,1989436892,2023-08-09,Cancelled,71790914.33,In-Store,Standard,Debit Card
241,Samantha Smith,larapatricia@example.org,0534746443,1994-05-15,Delivered,93706355.49,Online,Standard,PayPal
242,Ashley Cook,snydertara@example.net,9032923341,2018-12-27,Shipped,95702105.71,Mobile App,Next Day,Debit Card
243,Lindsey Lara,wyattdiana@example.com,2072662124,2005-02-15,Delivered,31365055.14,Mobile App,Express,PayPal
244,Holly Ellis,bensonjanice@example.net,8920297138,2014-05-24,Pending,95519325.31,Phone,Next Day,Cash
